,a49,a51,a12,a101,a10,a18,a17,a46,a38,a34,a5,a28,a43,a42,a11,a13,a20,a83,a47,a8,a16,a30,a45,a7,a14,a55,a60
ATVI,-0.016001811983623087,-6.027162603722645e-18,-0.00020950748838235807,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-4.93621456906353e-06,-0.0007809299107960214,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.5077330775813117e-06,0.0,-8.111637694918715e-06,-0.0,-0.0,-0.0
BIIB,-0.003391552929437772,-1.3865661532262465e-18,-5.348416797594239e-05,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-1.0426301466321236e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.468653520957037e-06,0.0,0.0,-0.0
ILMN,-0.003514319181545335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.1563283737935542e-05,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.693086972317607e-05,0.0,-0.0,-0.0
LRCX,-0.003460075281425081,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.6851246994601865e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-4.0438876763963956e-05,-0.0,-0.0,-0.0
ADP,-0.007003369483097218,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-7.526383586469097e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.516512468187002e-06,0.0,-0.0,-0.0
BKNG,-0.0005941633025065363,-2.812651359281003e-20,9.379283445302358e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.848859575412024e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
MELI,-0.0009760965712420293,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-5.0296215387673206e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0406545813612025e-06,-0.0,-0.0,0.0
KLAC,-0.006014058907597885,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.4999482552552894e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-3.7253028048300686e-05,0.0,-0.0,-0.0
NXPI,-0.010086688586657963,-0.0,-2.639480862283951e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-2.2193272431907338e-07,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,8.455000211683411e-06,0.0,0.0,-0.0
MNST,-0.031766149280606816,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.097087371204339e-06,-4.836287700820415e-05,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.6315508128732052e-05,-0.0,-0.0,-0.0
WDAY,-0.0056421239415857805,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.811424724670029e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-4.613072666472249e-05,0.0,-0.0,-0.0
